locid;denot;municipality;subarea_nr;sales_FA;sales_FA_centr;Area_tot;Area_settl;Area_cultivable;Rent_4flat;LP_res;LP_mix;LP_ind;Bus_dev_index;urban_centre;loc_type;var1;var2;var3;var4;var5;var6;var7;var8;var9;var10
3339;Uznach;3339;17;13213;0;755;177;513;1051;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3351;Alt St. Johann;3359;17;1476;0;5311;111;1032;953;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3352;Ebnat-Kappel;3352;17;2978;0;4358;227;1727;838;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3354;Krummenau;3360;17;647;0;3746;119;1198;1725;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3355;Nesslau;3360;17;1419;0;4306;136;1378;1725;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3356;Stein (SG);3360;17;430;0;1224;27;366;729;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3357;Wildhaus;3359;17;1714;0;3443;142;888;975;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3371;Brunnadern;3378;17;1275;0;666;39;385;926;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3372;Hemberg;3372;17;322;0;2017;74;1341;906;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3373;Krinau;3379;17;28;0;725;20;395;870;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3374;Lichtensteig;3374;17;2454;0;282;51;150;839;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3375;Oberhelfenschwil;3375;17;345;0;1267;55;815;1061;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3376;St. Peterzell;3378;17;182;0;938;66;705;1019;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3377;Wattwil;3379;17;16953;0;4395;366;2543;865;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3391;Bütschwil;3395;17;3241;0;1378;170;1057;887;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3392;Kirchberg (SG);3392;17;8136;0;4256;382;2829;1056;350;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3393;Lütisburg;3393;17;796;0;1406;72;860;1053;350;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3394;Mosnang;3394;17;1022;0;5047;191;2300;893;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3401;Degersheim;3401;17;3385;0;1446;144;872;994;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3402;Flawil;3402;17;13656;0;1147;264;824;1010;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3403;Ganterschwil;3395;17;239;0;802;57;561;1014;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3405;Jonschwil;3405;17;8769;0;1101;166;776;1245;350;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3406;Mogelsberg;3378;17;649;0;3298;152;1740;874;220;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3407;Oberuzwil;3407;17;3702;0;1410;186;945;979;350;130;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3408;Uzwil;3408;17;10404;0;1450;387;1107;947;350;130;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3421;Bronschhofen;3427;17;1555;0;1319;159;934;1142;350;130;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3422;Niederbüren;3422;17;520;0;1583;136;1100;1109;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3423;Niederhelfenschwil;3423;17;844;0;1633;137;1175;1144;350;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3424;Oberbüren;3424;17;18590;0;1770;213;1297;1155;350;130;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3425;Wil (SG);3427;17;58821;0;762;406;628;1147;350;130;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3426;Zuzwil (SG);3426;17;2072;0;896;150;631;1348;350;130;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3441;Andwil (SG);3441;17;858;0;629;60;449;1263;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3442;Gaiserwald;3442;17;16388;0;1265;239;829;1159;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3443;Gossau (SG);3443;17;38416;0;2753;553;2095;1071;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3444;Waldkirch;3444;17;1250;0;3125;210;1977;1109;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
320301;St. Gallen West;3203;17;71258;0;1184;454;804;1031;380;550;200;0.02;1;91;0;0;0;0;0;0;0;0;0;0
320302;St. Gallen Centrum;3203;17;77513;0;1288;494;875;1031;380;550;200;0.02;1;91;0;0;0;0;0;0;0;0;0;0
320303;St. Gallen Ost;3203;17;88392;0;1468;563;997;1031;380;550;200;0.02;1;91;0;0;0;0;0;0;0;0;0;0
