locid;code;name;surface_m2;total_surface
3101;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);317774;1585627
3101;14;Core zone development (Kernzone Entwicklung);154293;1585627
3101;15;Zone for public buildings ;173119;1585627
3101;16;eingeschränkte Bauzonen;54054;1585627
3101;17;Tourism and leisure zone (Tourismus und FreizeitZone);28295;1585627
3102;11;Zone for residential use (Wohnzone);113513;381603
3102;12;Zone for commercial and industrial use (Gewerbe und Industrie);27107;381603
3102;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);78809;381603
3102;14;Core zone development (Kernzone Entwicklung);63325;381603
3102;15;Zone for public buildings ;15833;381603
3102;16;eingeschränkte Bauzonen;36802;381603
3102;17;Tourism and leisure zone (Tourismus und FreizeitZone);46214;381603
3103;11;Zone for residential use (Wohnzone);569123;872921
3103;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);113223;872921
3103;14;Core zone development (Kernzone Entwicklung);55934;872921
3103;15;Zone for public buildings ;58010;872921
3103;16;eingeschränkte Bauzonen;76631;872921
3104;11;Zone for residential use (Wohnzone);42085;157798
3104;12;Zone for commercial and industrial use (Gewerbe und Industrie);24120;157798
3104;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);62813;157798
3104;14;Core zone development (Kernzone Entwicklung);14770;157798
3104;15;Zone for public buildings ;12872;157798
3104;16;eingeschränkte Bauzonen;1138;157798
3105;11;Zone for residential use (Wohnzone);327771;640225
3105;12;Zone for commercial and industrial use (Gewerbe und Industrie);21170;640225
3105;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);99318;640225
3105;14;Core zone development (Kernzone Entwicklung);54507;640225
3105;15;Zone for public buildings ;53637;640225
3105;16;eingeschränkte Bauzonen;83822;640225
3111;11;Zone for residential use (Wohnzone);220718;434626
3111;12;Zone for commercial and industrial use (Gewerbe und Industrie);44541;434626
3111;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);83859;434626
3111;14;Core zone development (Kernzone Entwicklung);28887;434626
3111;15;Zone for public buildings ;27955;434626
3111;16;eingeschränkte Bauzonen;28666;434626
3201;11;Zone for residential use (Wohnzone);113137;340365
3201;12;Zone for commercial and industrial use (Gewerbe und Industrie);117864;340365
3201;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);40006;340365
3201;14;Core zone development (Kernzone Entwicklung);20580;340365
3201;15;Zone for public buildings ;47086;340365
3201;16;eingeschränkte Bauzonen;452;340365
3201;17;Tourism and leisure zone (Tourismus und FreizeitZone);1240;340365
3202;11;Zone for residential use (Wohnzone);100586;264178
3202;12;Zone for commercial and industrial use (Gewerbe und Industrie);46075;264178
3202;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);53090;264178
3202;14;Core zone development (Kernzone Entwicklung);43169;264178
3202;15;Zone for public buildings ;21258;264178
3204;11;Zone for residential use (Wohnzone);1096733;2169471
3204;12;Zone for commercial and industrial use (Gewerbe und Industrie);226398;2169471
3204;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);210301;2169471
3204;14;Core zone development (Kernzone Entwicklung);62514;2169471
3204;15;Zone for public buildings ;326901;2169471
3204;16;eingeschränkte Bauzonen;132091;2169471
3204;17;Tourism and leisure zone (Tourismus und FreizeitZone);114533;2169471
3211;11;Zone for residential use (Wohnzone);182318;240656
3211;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);2329;240656
3211;14;Core zone development (Kernzone Entwicklung);15849;240656
3211;15;Zone for public buildings ;30927;240656
3211;16;eingeschränkte Bauzonen;9233;240656
3212;11;Zone for residential use (Wohnzone);294393;540949
3212;12;Zone for commercial and industrial use (Gewerbe und Industrie);7739;540949
3212;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);71015;540949
3212;14;Core zone development (Kernzone Entwicklung);74557;540949
3212;15;Zone for public buildings ;78088;540949
3212;16;eingeschränkte Bauzonen;8187;540949
3212;17;Tourism and leisure zone (Tourismus und FreizeitZone);6970;540949
3213;11;Zone for residential use (Wohnzone);1076740;2471336
3213;12;Zone for commercial and industrial use (Gewerbe und Industrie);606865;2471336
3213;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);315690;2471336
3213;14;Core zone development (Kernzone Entwicklung);80651;2471336
3213;15;Zone for public buildings ;238839;2471336
3213;16;eingeschränkte Bauzonen;147741;2471336
3213;17;Tourism and leisure zone (Tourismus und FreizeitZone);4810;2471336
3214;11;Zone for residential use (Wohnzone);551858;1101488
3214;12;Zone for commercial and industrial use (Gewerbe und Industrie);165725;1101488
3214;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);103661;1101488
3214;14;Core zone development (Kernzone Entwicklung);191898;1101488
3214;15;Zone for public buildings ;85959;1101488
3214;16;eingeschränkte Bauzonen;2339;1101488
3214;17;Tourism and leisure zone (Tourismus und FreizeitZone);48;1101488
3215;11;Zone for residential use (Wohnzone);516346;1338668
3215;12;Zone for commercial and industrial use (Gewerbe und Industrie);133882;1338668
3215;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);170859;1338668
3215;14;Core zone development (Kernzone Entwicklung);118915;1338668
3215;15;Zone for public buildings ;248162;1338668
3215;16;eingeschränkte Bauzonen;137121;1338668
3215;17;Tourism and leisure zone (Tourismus und FreizeitZone);13383;1338668
